PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzEOd,r3k2r/ppqbbppp/3p1n2/8/Pn1NP3/2NQBP2/1PB3PP/R4RK1 w kq - 5 15,c3d5 f6d5 e4d5 b4d3,1739,76,86,112,crushing middlegame short,https://lichess.org/rW6na6j2#29,Sicilian_Defense Sicilian_Defense_Delayed_Alapin
zzEV8,r2qkbnr/1b3ppp/p3p3/1p1pN3/2pP1B2/2P1P2P/PP3PP1/R2QKB1R b KQkq - 0 10,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1061,80,91,1767,advantage long middlegame trappedPiece,https://lichess.org/MdpFP7fG/black#20,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
zzEY4,3r4/p1R3Q1/1p4kp/3q4/1P2p1n1/P5Pp/7P/4K3 b - - 10 40,g6f5 c7f7 f5e6 g7g6 e6e5 f7f5 e5d4 f5d5,1794,76,96,4204,crushing endgame fork skewer veryLong,https://lichess.org/Scgt5Jhg/black#80,
zzEa2,6k1/5pp1/6rp/p7/1p6/1PpRP1PK/P1P2Q1P/2q5 b - - 16 36,c1b1 d3d8 g8h7 f2f7 g6g3 h2g3,1913,76,85,973,crushing deflection endgame long,https://lichess.org/5OqeyGud/black#72,
zzEb9,2kr3r/1bp1q1b1/Bp6/3p4/QP1P1p2/6B1/P4P1p/2R2R1K w - - 0 28,g3f4 e7e4 f2f3 e4f4 a4c6 b7a6,1164,75,81,177,crushing fork long middlegame,https://lichess.org/6iJ0fSsn#55,
zzEhs,r2qkb1r/2p2pp1/p2p3p/1p1N3Q/4Pp2/1B1P3b/PPP2P1P/R3R1K1 b kq - 1 15,d8g5 h5g5 h6g5 d5c7 e8d8 c7a8,1111,82,87,191,advantage fork long middlegame,https://lichess.org/zTGo4JLY/black#30,Carr_Defense Carr_Defense_Other_variations
zzEmG,2r2rk1/pp2bppp/8/4p3/6nq/3Q2N1/PP1BPPB1/R2R1K2 w - - 8 22,g3f5 h4f2,1284,267,50,24,master mate mateIn1 middlegame oneMove,https://lichess.org/mlhuwbUm#43,
zzEmq,r3k2r/p4p1p/2pp2p1/8/2PbP2q/2N3Qb/PP4KP/R4B1R w kq - 3 17,g3h3 h4f2,1089,88,93,1332,mate mateIn1 middlegame oneMove,https://lichess.org/LtpiCtR2#33,Sicilian_Defense Sicilian_Defense_Staunton-Cochrane_Variation
zzEoI,1k6/1prr2pp/5p2/8/8/R3Q1P1/P2p1PK1/3q4 b - - 5 44,d1c1 e3a7 b8c8 a7a8,1280,76,95,6403,endgame master mate mateIn2 short,https://lichess.org/4rliQ5ss/black#88,
zzEqD,2r1k1nr/pp1b1ppp/4p3/4P3/1bQpqP2/8/P3N1PP/RN2KB1R w KQk - 0 15,c4b4 c8c1 e1f2 e4e3,1137,76,98,3373,mate mateIn2 opening pin short,https://lichess.org/xw3ZbsxF#29,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
zzEsE,3r1rk1/1bp2ppp/p1n1p3/3qP3/1p1P4/3QBP2/PPB3PP/R4RK1 b - - 2 16,c6a5 d3h7,466,107,65,223,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/n9OxtDR3/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
zzEtV,r2qr1k1/pppnppbp/3p1np1/8/2PP1B2/3BPN1P/PP3PP1/R2QK2R w KQ - 1 10,e1g1 e7e5 f4g5 e5e4 d3e2 e4f3,1389,76,81,187,advantage fork long opening,https://lichess.org/UVYe1soi#19,London_System London_System_Other_variations
zzExe,8/1p3pp1/2k4p/2p1PP1P/2P5/4K3/8/8 b - - 0 40,b7b6 e3e4 f7f6 e5e6,1902,75,89,850,crushing endgame pawnEndgame short zugzwang,https://lichess.org/NHHZn4zH/black#80,
zzEzh,8/3k4/3P4/4BbP1/7P/4K3/p7/8 b - - 1 44,a2a1q e5a1 d7d6 e3f4 f5d3 f4g4 d6e6 g4h5,2721,97,81,155,crushing defensiveMove endgame veryLong,https://lichess.org/RS7lHMKO/black#88,
zzF0s,r5rk/3bb2p/4p3/3pPB2/p2N1P2/7Q/Pq4RP/3R3K b - - 0 30,g8g2 h3h7,775,86,87,292,mate mateIn1 middlegame oneMove,https://lichess.org/t5SqCWFj/black#60,
zzF7O,3q2k1/b7/p3rp1p/1p1P2p1/2r5/1QN5/PP3PPP/4R1K1 w - - 0 27,d5e6 a7f2 g1f2 d8d2 c3e2 c4f4,1957,74,98,126,advantage attraction endgame long pin sacrifice,https://lichess.org/Ip4xYX7W#53,
zzFN7,r3k2r/1pp1n2q/p1pb4/4p1Q1/4P3/3PBP2/PPP3P1/RN3RK1 w kq - 1 16,b1c3 e8f7 g1f2 a8g8,2532,91,84,34,advantage clearance middlegame short,https://lichess.org/HRI5CNq2#31,Ruy_Lopez Ruy_Lopez_Exchange_Variation
zzFRN,8/3n3k/p2N3p/3P2pK/2p5/1P4PP/P7/8 w - - 0 45,b3c4 d7f6,737,104,92,1217,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/3U49ByHj#89,
zzFVU,1b4k1/3q2p1/p2r1pNp/1pQbp2P/4N3/5P2/PP1R2P1/6K1 w - - 0 36,d2d5 b8a7 e4d6 a7c5 d5c5 d7d6,1726,76,85,188,advantage long middlegame pin,https://lichess.org/qmT4CdL2#71,
zzFXa,r2q1rk1/2p1bppp/p1p5/3nP3/6b1/2N2N2/PP2QPPP/R1BR2K1 w - - 3 14,e2e4 d5c3 d1d8 c3e4 d8a8 f8a8,1714,75,90,2063,advantage long opening,https://lichess.org/EdsfQtxL#27,Ruy_Lopez Ruy_Lopez_Berlin_Defense
zzFYB,r5k1/ppp3p1/4q2p/4Pp2/7R/bPP1B1Q1/P1K3P1/8 b - - 1 28,g7g5 e3g5 h6g5 g3g5 g8f7 h4h7 f7e8 g5h5,2356,80,80,87,crushing endgame exposedKing veryLong,https://lichess.org/TY1sbwzU/black#56,
zzFaR,r1bq1rk1/ppn2pbp/2p3p1/4n3/2P5/2N2N2/PPQ1BPPP/R1B1R1K1 w - - 0 12,c1g5 e5f3 e2f3 d8g5,1236,81,60,76,crushing kingsideAttack middlegame short,https://lichess.org/LFLZoeT2#23,Scandinavian_Defense Scandinavian_Defense_Marshall_Variation
zzFcZ,r2q2rk/p2b1pb1/7p/3p1p2/3Np3/1BP3Q1/PP3PPP/R4RK1 w - - 0 20,b3d5 g7d4 g3f4 d4g7,1859,74,88,464,advantage middlegame short,https://lichess.org/6qg5sOWR#39,
zzFj4,4kb1r/2pnqppp/P1Q3b1/3B4/3r4/2N5/1Pn1NPPP/R1BKR3 w k - 10 18,e2d4 e7e1,1047,83,76,53,mate mateIn1 middlegame oneMove,https://lichess.org/gFGbUbKZ#35,Queens_Gambit_Accepted Queens_Gambit_Accepted_Central_Variation
zzFmf,8/8/p3n3/2pK1kpp/1pP5/1P2B1P1/P7/8 w - - 6 46,e3c5 e6c5 d5c5 h5h4,1856,74,93,3204,crushing endgame master short,https://lichess.org/pVSBzHJp#91,
zzFtW,r1b2r1k/p3Npbp/2p3p1/8/3P4/1Bq5/P4PPP/1R1QR1K1 b - - 4 18,g7d4 b1c1 d4f2 g1f2,1542,74,93,4248,advantage middlegame short,https://lichess.org/wyVUyQdU/black#36,Modern_Defense Modern_Defense_Other_variations
zzFv2,4r1k1/pQ3npp/1p1P4/2p5/4P3/2N2RPq/P6P/6K1 b - - 0 31,f7e5 f3f5 h3f5 e4f5,2538,132,76,23,crushing endgame short,https://lichess.org/iBnZ4khd/black#62,
zzFx4,r3k2r/pp2nppp/8/q1pp1b2/1P6/1nN3Q1/1PPB1PPP/2KR1BNR w kq - 1 12,c2b3 a5a1 c3b1 a1b1,636,84,100,97,mate mateIn2 middlegame queensideAttack short,https://lichess.org/boImYIii#23,French_Defense French_Defense_Exchange_Variation
zzG16,6kr/1p3q2/2p3pp/1pQ5/8/1P3RPn/P3rPK1/R7 b - - 1 29,f7e6 c5f8 g8h7 f3f7 e6f7 f8f7,1019,83,93,757,exposedKing long mate mateIn3 middlegame,https://lichess.org/NyXCOMfT/black#58,
zzG4I,6k1/1p1n1r1p/p3p1B1/3p2P1/P2P3R/1KP5/1P3r2/7R b - - 0 34,h7g6 h4h8 g8g7 h1h7,870,100,93,241,endgame mate mateIn2 short,https://lichess.org/Ifa3HJEn/black#68,
zzG4J,r1bq1rk1/ppp1nppp/4p3/3nP1N1/3P4/P5P1/2QB1PBP/1R3RK1 b - - 2 16,h7h6 c2h7,734,78,100,125,mate mateIn1 middlegame oneMove,https://lichess.org/mWYttNqR/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
zzG54,2rr2k1/p3qpp1/7p/4N3/Q1nP2P1/7P/PP1N4/R2K3R w - - 0 25,d2c4 d8d4 d1c2 e7e5,1664,74,93,2078,crushing middlegame pin short,https://lichess.org/XRVpJ5sm#49,
zzG67,1k1r2nr/pp2p1pp/1p3p2/8/QP2p1qP/P7/2RP1P2/2B2K2 b - - 1 24,d8d3 a4e8 d3d8 e8d8 g4c8 c2c8,793,77,95,188,long mate mateIn3 middlegame queensideAttack,https://lichess.org/uDISCYML/black#48,
zzG9Z,8/5rk1/8/1Bp3p1/P1Pb3p/1R3PKP/8/8 w - - 0 42,g3g4 g7h6 f3f4 f7f4,1917,75,86,149,endgame mate mateIn2 short,https://lichess.org/U3K26cp2#83,
